jml_lantai,ruangan,luas (m2),harga
3,2,65,594000
3,3,57.02,695000
4,2,56,599000
1,1,19.5,286000
4,3,46,490000
3,2,41,369000
1,2,46,599000
0,2,84.8,949000
4,2,62,1159000
1,2,70.6,700000
2,2,48,768000
1,4,103,750000
0,1,31.25,415000
2,2,48,786000
0,1,12.8,217000
3,2,59.25,1247000
2,4,86,1400000
3,3,71,920000
3,2,53,679000
4,2,55,795000
5,1,24.5,375000
6,6,156,1399000
5,3,76.7,1379000
4,3,81,950000
1,2,61,1037000
0,2,48,590000
1,3,70,1190000
2,7,207,429000
2,2,60,595000
2,5,128,1530000
2,2,51.13,989000
1,2,69.37,980000
3,2,33,329000
1,1,20,289000
2,2,55.2,770000
5,2,59.49,759000
1,3,48.99,499698
4,1,33,420000
1,5,106.9,1990000
3,3,49,614800
1,2,55.25,635000
0,3,70,839000
3,1,34.07,347514
4,3,63,561000
0,4,99,579000
1,3,84,935000
2,5,105.46,1795000
1,1,32,345000
2,5,106,1790000
0,1,38.35,520000
1,3,70.7,890000
4,1,37.9,469000
0,3,49.83,473385
1,3,83,749000
4,3,63,561000
2,2,52.05,729000
2,7,162.48,2350000
0,1,26,334177
4,2,62,1050000
1,3,72,560000
5,3,93.61,990000
3,2,44.62,345000
2,3,89,700000
2,2,52.1,714000
2,3,72.5,999000
1,3,85.31,2050000
0,1,26,299000
4,4,120,2850000
0,1,26.21,334177.5
1,1,29,369000
4,5,145,1250000
5,2,61.48,489000
2,4,97,1290000
2,2,52.05,729000
2,5,105.46,1685000
2,2,60,940000
2,2,40,550000
1,1,16.14,177000
1,2,75,990000
2,4,124.3,1160000
3,5,111,1490000
1,3,51.8,780000
5,2,55,699000
1,3,101,1540000
4,3,90,1800000
0,5,87,1044000
2,4,120.1,1160000
0,1,24,329900
4,3,90,1800000
4,1,34.7,799000
1,4,112.83,1599000
5,2,54.8,699000
3,5,124.4,665000
2,4,120.1,1160000
2,4,98,1350000
2,1,21.17,220000
3,3,87.2,848000
3,2,68.46,980000
4,4,95,1350000
1,1,36.31,379000
0,1,24.5,259000
1,3,73.08,460000
2,1,33,239000
1,2,75.3,950000
2,4,120,1150000
4,2,66,590000
1,2,75.3,950000
5,2,53.17,970000
0,6,166,1690000
2,4,120,1160000
1,2,59,798000
2,4,120.1,1160000
4,4,95,1350000
5,1,24.6,375000
0,1,30,465000
2,4,120.1,1160000
3,2,36,599000
2,4,120,1160000
3,2,38,670000
3,3,100,1590000
3,4,134,1500000
3,2,38,625000
3,2,33,329000
1,2,52,729000
3,2,48.54,600000
3,4,105,715000
0,2,40,530000
3,2,33,329000
2,2,41,539000
0,2,30,480000
1,3,72.16,1550000
1,3,101,1549000
0,2,29.3,480000
0,4,76,729000
1,2,62,868000
1,3,86,1250000
1,2,40.33,438690
3,1,18,310000
0,2,48,595000
2,2,57,660000
1,3,100.4,549000
2,3,58.12,599000
1,3,90,1750000
1,2,38.12,509000
0,2,48,530000
2,2,60,595000
0,2,60,570000
0,1,40.5,538000
